arabic,source_count,sources,sample_indo
بارد,2,Tebak Gambar | Challenge,Dingin
حار,2,Tebak Gambar | Lesson Umrah,Panas | Pedas
أسبوع,2,Tebak Gambar | Perkenalan Diri,Minggu | Seminggu
سنة,2,Tebak Gambar | Perkenalan Diri,Tahun
كرة السلة,2,Tebak Gambar | Lesson Pelajar,Bola Basket | Basket
مشي,2,Tebak Gambar | Roleplay,Berjalan | Jalan kaki
مبارزة,2,Tebak Gambar | Cerita,Anggar | Duel
المدينة المنورة,2,Cerita | Perkenalan Diri,Madinah Al-Munawwarah (Kota Bercahaya) | Madinah Munawwarah
من فضلك,2,Cerita | Match,"Tolong / Silakan (sopan) | Untuk meminta diantar dengan sopan, kita pakai kata... | tolong (min fadlik)"
شكرا,2,Cerita | Match,"Bagaimana cara mengucapkan ""terima kasih"" dalam bahasa Arab? | terima kasih (shukran)"
بكم الكيلو,2,Cerita | Roleplay,Berapa per kilo?
آخر سعر,2,Cerita | Roleplay,Harga terakhir / final price | Harga terakhir
القبة الخضراء,2,Cerita | Lesson Umrah,Kubah Hijau (Masjid Nabawi) | Kubah Hijau
السلام عليكم من أين أنت,2,Cerita | Lesson Umrah,"""Assalamualaikum, dari mana kamu?"" | Assalamu alaikum, dari mana asalmu?"
صلاة,2,Cerita | Tulis Arab,Sholat | shalaah (shalat)
متى,2,Cerita | Lesson Profesional,Kapan | Kapan?
لو سمحت,2,Cerita | Roleplay,"Untuk minta perhatian sopan, kita bilang... | Permisi (laki ke laki)"
مريض,2,Cerita | Lesson Umrah,Sakit
زكام,2,Cerita | Lesson Umrah,Flu / Pilek | Flu
دواء,2,Cerita | Lesson Umrah,Obat
بخير,2,Cerita | Lesson Pelajar,"Baik / Sehat | Jawaban ""Baik"" dalam Arab... | Baik"
الروضة,2,Cerita | Perkenalan Diri,Raudhah (taman surga di Masjid Nabawi) | Raudhah (di Masjid Nabawi)
مسجد قباء,2,Cerita | Lesson Umrah,Masjid Quba
حج,2,Cerita | Tulis Arab,Haji | hajj (haji)
ما اسمك,2,Perkenalan Diri | Tulis Arab,Siapa namamu? (ke laki) | Siapa namamu? (ke perempuan) | Cara tanya nama ke perempuan?
تشرفنا,2,Perkenalan Diri | Lesson Umrah,Senang berkenalan | Apa yang diucapkan setelah kenalan?
الرياضة,2,Perkenalan Diri | Lesson Pelajar,Olahraga
وعليكم السلام تفضل,2,Lesson Umrah | Lesson Profesional,"Wa alaikum salam. Silakan. | Wa alaikum salam, silakan."
حاضر,2,Lesson Umrah | Lesson Profesional,Siap.
تفضل,2,Lesson Umrah | Lesson Profesional,Silakan.
أين,2,Lesson Umrah | Match,Di mana | di mana (aina)
يسار,2,Lesson Umrah | Match,Kiri | kiri (yasar)
مستقيم,2,Lesson Umrah | Challenge,Lurus
الصف,2,Lesson Umrah | Lesson Pelajar,Antrian / shaf | Kelas
موعد,2,Lesson Umrah | Lesson Profesional,Jadwal / appointment | Janji
الغداء,2,Lesson Umrah | Lesson Profesional,Makan siang
كم السعر,2,Lesson Umrah | Challenge,Berapa harganya
جبل أحد,2,Lesson Umrah | Challenge,Jabal Uhud | Gunung Uhud
مرحبا,2,Lesson Umrah | Challenge,Halo / selamat datang | Selamat datang/Halo
مساء الخير,2,Lesson Umrah | Lesson Pelajar,Selamat sore/malam | Selamat sore
لا شكرا,2,Lesson Profesional | Lesson Pelajar,"Tidak, terima kasih."
أتفق,2,Lesson Profesional | Lesson Pelajar,Setuju | Saya setuju
لا أتفق,2,Lesson Profesional | Lesson Pelajar,Tidak setuju | Saya tidak setuju
لماذا,2,Lesson Profesional | Lesson Pelajar,Kenapa? | Mengapa?
هل من أسئلة أخرى,2,Lesson Profesional | Lesson Pelajar,Ada pertanyaan lain?
موضوع,2,Lesson Profesional | Lesson Pelajar,Subjek | Topik / tema
ما السبب,2,Lesson Profesional | Lesson Pelajar,Sebabnya? | Penyebabnya? | Apa sebabnya?
ما الشروط,2,Lesson Profesional | Lesson Pelajar,Apa syaratnya?
بارك الله فيك,2,Lesson Pelajar | Match,Semoga Allah memberkahimu. | Barakallahu fik (semoga Allah berkahi)
ا,2,Tulis Arab | Match,alif
ب,2,Tulis Arab | Match,ba | ba (1 titik bawah) | ba + fatha (ba)
ت,2,Tulis Arab | Match,ta | ta + fatha (ta)
ج,2,Tulis Arab | Match,jim | jim (titik bawah)
د,2,Tulis Arab | Match,dal | dal tasydid (dd)
ر,2,Tulis Arab | Match,ra | ra + dhamma (ru) | ra sukun (r mati)
س,2,Tulis Arab | Match,sin | sin + fatha (sa)
م,2,Tulis Arab | Match,mim | mim + sukun (m mati) | mim sukun (m mati)
ن,2,Tulis Arab | Match,nun | nun + fatha (na) | nun tasydid (nn)
ي,2,Tulis Arab | Match,ya
ص,2,Tulis Arab | Match,shad (tebal) | shad
ل,2,Tulis Arab | Match,lam + tasydid (ll) | lam tasydid (ll) — di Allah | lam
ك,2,Tulis Arab | Match,"kaf sukun (k mati) — di ""lak"" | kaf"
كم,2,Tulis Arab | Match,kam (berapa) | berapa (kam)
إحرام,2,Tulis Arab | Challenge,ihram (ihram) | Pakaian ihram
إن شاء الله,2,Tulis Arab | Match,Insya Allah | Insya Allah (jika Allah berkehendak)
ما شاء الله,2,Tulis Arab | Match,Masya Allah | Masya Allah (sungguh kehendak Allah)
بسم الله الرحمن الرحيم,2,Tulis Arab | Hafalan,"Doa sebelum makan | ""Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang."""
