arabic,translations,locations
ر,ra | ra + dhamma (ru) | ra sukun (r mati),Tulis Arab/mengenal-huruf/L1/ra: ra | Tulis Arab/mengenal-huruf/L3/ra + dhamma (ru): ra + dhamma (ru) | Tulis Arab/cara-baca/L6/ra sukun (r mati): ra sukun (r mati) | Match/level1/q6/ra: ra
م,mim | mim + sukun (m mati) | mim sukun (m mati),Tulis Arab/mengenal-huruf/L1/mim: mim | Tulis Arab/mengenal-huruf/L3/mim + sukun (m mati): mim + sukun (m mati) | Tulis Arab/cara-baca/L6/mim sukun (m mati): mim sukun (m mati) | Match/level1/q9/mim: mim
ن,nun | nun + fatha (na) | nun tasydid (nn),Tulis Arab/mengenal-huruf/L1/nun: nun | Tulis Arab/mengenal-huruf/L3/nun + fatha (na): nun + fatha (na) | Tulis Arab/cara-baca/L6/nun tasydid (nn): nun tasydid (nn) | Match/level1/q10/nun: nun
مسجد,Masjid | masjid (masjid) | masjid,Tebak Gambar/tempat/masjid: Masjid | Tulis Arab/menulis-kata/L9/masjid (masjid): masjid (masjid) | Match/level2/q18/masjid: masjid
كتاب,Buku | kitab/buku | buku,Tebak Gambar/benda/kitab: Buku | Match/level2/q16/kitab/buku: kitab/buku | Ngomong/kata/kata-belajar/item1: buku
ملعقة,Sendok | Sendok takar | sendok,Tebak Gambar/benda/mil'aqa: Sendok | Lesson Umrah/apotek-kesehatan/vocab: Sendok takar | Ngomong/kata/kata-dapur/item2: sendok
من فضلك,"Tolong / Silakan (sopan) | Untuk meminta diantar dengan sopan, kita pakai kata... | tolong (min fadlik)","Cerita/tiba-di-madinah/page6/vocab: Tolong / Silakan (sopan) | Cerita/tiba-di-madinah/endQuiz#4: Untuk meminta diantar dengan sopan, kita pakai kata... | Match/level3/q34/tolong (min fadlik): tolong (min fadlik)"
غالي,Mahal | ghaali (mahal) | mahal (ghali),Cerita/belanja-kurma/page4/vocab: Mahal | Tulis Arab/menulis-kata/L8/ghaali (mahal): ghaali (mahal) | Match/level3/q27/mahal (ghali): mahal (ghali)
abu bakr ash-shiddiq,Yang membebaskan Bilal dari perbudakan adalah... | Teman Nabi saat hijrah... | Aisyah adalah putri dari sahabat...,Cerita/sahabat-bilal/endQuiz#2: Yang membebaskan Bilal dari perbudakan adalah... | Cerita/hijrah-madinah/endQuiz#1: Teman Nabi saat hijrah... | Cerita/aisyah-ra/endQuiz#0: Aisyah adalah putri dari sahabat...
ماء زمزم,Air Zam-zam | Air zamzam | Air zam-zam,Cerita/bertemu-jamaah/page0/vocab: Air Zam-zam | Lesson Umrah/check-in-hotel/vocab: Air zamzam | Challenge/tower-zamzam/L3/q0: Air zam-zam
بخير,"Baik / Sehat | Jawaban ""Baik"" dalam Arab... | Baik","Cerita/telepon-keluarga/page2/vocab: Baik / Sehat | Cerita/telepon-keluarga/endQuiz#2: Jawaban ""Baik"" dalam Arab... | Lesson Pelajar/sapa-guru/vocab: Baik"
تشرفنا,Senang berkenalan | Apa yang diucapkan setelah kenalan?,Perkenalan Diri/nama/vocab: Senang berkenalan | Perkenalan Diri/nama/quiz#2: Apa yang diucapkan setelah kenalan? | Lesson Umrah/sosial-salam/vocab: Senang berkenalan
يمين,Kanan | kanan (yamin),Lesson Umrah/arah-lokasi/vocab: Kanan | Match/level3/q32/kanan (yamin): kanan (yamin) | Roleplay/tanya-arah/vocab: Kanan
الفاتورة,Tagihan | Faktur | Tagihan/Struk,Lesson Umrah/restoran-makanan/vocab: Tagihan | Lesson Profesional/keuangan/vocab: Faktur | Challenge/tower-zamzam/L5/q1: Tagihan/Struk
رخيص,Murah | rakhiis (murah) | murah (rakhis),Lesson Umrah/pasar-belanja/vocab: Murah | Tulis Arab/menulis-kata/L8/rakhiis (murah): rakhiis (murah) | Match/level3/q28/murah (rakhis): murah (rakhis)
خصم,Diskon | Diskon/Potongan,Lesson Umrah/pasar-belanja/vocab: Diskon | Lesson Profesional/negosiasi/vocab: Diskon | Challenge/pasar-kakkiyah/L3/q0: Diskon/Potongan
ت,ta | ta + fatha (ta),Tulis Arab/mengenal-huruf/L1/ta: ta | Tulis Arab/mengenal-huruf/L3/ta + fatha (ta): ta + fatha (ta) | Match/level1/q2/ta: ta
ج,jim | jim (titik bawah),Tulis Arab/mengenal-huruf/L1/jim: jim | Tulis Arab/mengenal-huruf/L2/jim (titik bawah): jim (titik bawah) | Match/level1/q3/jim: jim
د,dal | dal tasydid (dd),Tulis Arab/mengenal-huruf/L1/dal: dal | Tulis Arab/cara-baca/L6/dal tasydid (dd): dal tasydid (dd) | Match/level1/q5/dal: dal
س,sin | sin + fatha (sa),Tulis Arab/mengenal-huruf/L1/sin: sin | Tulis Arab/mengenal-huruf/L3/sin + fatha (sa): sin + fatha (sa) | Match/level1/q7/sin: sin
ل,lam + tasydid (ll) | lam tasydid (ll) — di Allah | lam,Tulis Arab/mengenal-huruf/L3/lam + tasydid (ll): lam + tasydid (ll) | Tulis Arab/cara-baca/L6/lam tasydid (ll) — di Allah: lam tasydid (ll) — di Allah | Match/level1/q11/lam: lam
السلام عليكم,Assalamu'alaikum | Semoga keselamatan untukmu | Salam pembuka,Tulis Arab/menulis-kalimat/L12/Assalamu'alaikum: Assalamu'alaikum | Challenge/pasar-madinah/L1/q0: Semoga keselamatan untukmu | Roleplay/pasar-nawar/vocab: Salam pembuka
1000,Jumlah pasukan Quraisy... | Allah mengirim ... malaikat untuk membantu.,Cerita/perang-badar/endQuiz#2: Jumlah pasukan Quraisy... | Cerita/perang-badar/endQuiz#4: Allah mengirim ... malaikat untuk membantu.
بيت,Rumah | rumah (bayt),Tebak Gambar/tempat/bayt: Rumah | Match/level2/q15/rumah (bayt): rumah (bayt)
المدينة,Kota Madinah | Madinah,Tebak Gambar/tempat/al-madina: Kota Madinah | Match/level3/q31/Madinah: Madinah
جمل,Unta | Unta (tunggangan),Tebak Gambar/hewan-alam/jamal: Unta | Tebak Gambar/transportasi/jamal: Unta (tunggangan)
حصان,Kuda | Kuda (tunggangan),Tebak Gambar/hewan-alam/hisan: Kuda | Tebak Gambar/transportasi/hisan: Kuda (tunggangan)
باب,Pintu | Pintu (gate),Tebak Gambar/benda/bab: Pintu | Lesson Umrah/masjidil-haram/vocab: Pintu (gate)
أذان,Adzan | Adzan (panggilan shalat),Tebak Gambar/pakaian-umrah/adhan: Adzan | Cerita/sahabat-bilal/page6/vocab: Adzan (panggilan shalat)
حار,Panas | Pedas,Tebak Gambar/cuaca-waktu/harr: Panas | Lesson Umrah/restoran-makanan/vocab: Pedas
أسبوع,Minggu | Seminggu,Tebak Gambar/cuaca-waktu/usbu': Minggu | Perkenalan Diri/tujuan/vocab: Seminggu
كرة السلة,Bola Basket | Basket,Tebak Gambar/olahraga/kurat as-salla: Bola Basket | Lesson Pelajar/olahraga-budaya/vocab: Basket
مشي,Berjalan | Jalan kaki,Tebak Gambar/olahraga/mashy: Berjalan | Roleplay/tanya-arah/vocab: Jalan kaki
مبارزة,Anggar | Duel,Tebak Gambar/olahraga/mubaraza: Anggar | Cerita/perang-badar/page6/vocab: Duel
المدينة المنورة,Madinah Al-Munawwarah (Kota Bercahaya) | Madinah Munawwarah,Cerita/tiba-di-madinah/page4/vocab: Madinah Al-Munawwarah (Kota Bercahaya) | Perkenalan Diri/tujuan/vocab: Madinah Munawwarah
شكرا,"Bagaimana cara mengucapkan ""terima kasih"" dalam bahasa Arab? | terima kasih (shukran)","Cerita/tiba-di-madinah/endQuiz#1: Bagaimana cara mengucapkan ""terima kasih"" dalam bahasa Arab? | Match/level3/q29/terima kasih (shukran): terima kasih (shukran)"
آخر سعر,Harga terakhir / final price | Harga terakhir,Cerita/belanja-kurma/page5/vocab: Harga terakhir / final price | Roleplay/pasar-nawar/vocab: Harga terakhir
عبد,Hamba / Budak | Budak / Hamba,Cerita/sahabat-bilal/page1/vocab: Hamba / Budak | Cerita/salman-al-farisi/page4/vocab: Budak / Hamba
لذيذ,"Enak / Lezat | Untuk bilang ""enak"", pakai kata...","Cerita/sarapan-hotel/page4/vocab: Enak / Lezat | Cerita/sarapan-hotel/endQuiz#3: Untuk bilang ""enak"", pakai kata..."
القبة الخضراء,Kubah Hijau (Masjid Nabawi) | Kubah Hijau,Cerita/naik-bus-masjid/page3/vocab: Kubah Hijau (Masjid Nabawi) | Lesson Umrah/masjid-nabawi-raudhah/vocab: Kubah Hijau
من أين,"Dari mana | Cara tanya ""Dari mana?"" dalam Arab...","Cerita/bertemu-jamaah/page1/vocab: Dari mana | Cerita/bertemu-jamaah/endQuiz#1: Cara tanya ""Dari mana?"" dalam Arab..."
السلام عليكم من أين أنت,"""Assalamualaikum, dari mana kamu?"" | Assalamu alaikum, dari mana asalmu?","Cerita/bertemu-jamaah/page1/line0: ""Assalamualaikum, dari mana kamu?"" | Lesson Umrah/sosial-salam/conv0/line0: Assalamu alaikum, dari mana asalmu?"
أيضا,"Juga | Kata ""juga"" dalam Arab...","Cerita/bertemu-jamaah/page3/vocab: Juga | Cerita/bertemu-jamaah/endQuiz#2: Kata ""juga"" dalam Arab..."
صلاة,Sholat | shalaah (shalat),Cerita/tanya-waktu-sholat/page0/vocab: Sholat | Tulis Arab/menulis-kata/L9/shalaah (shalat): shalaah (shalat)
لو سمحت,"Untuk minta perhatian sopan, kita bilang... | Permisi (laki ke laki)","Cerita/tanya-waktu-sholat/endQuiz#3: Untuk minta perhatian sopan, kita bilang... | Roleplay/tanya-arah/vocab: Permisi (laki ke laki)"
زكام,Flu / Pilek | Flu,Cerita/cari-apotek/page4/vocab: Flu / Pilek | Lesson Umrah/apotek-kesehatan/vocab: Flu
الروضة,Raudhah (taman surga di Masjid Nabawi) | Raudhah (di Masjid Nabawi),Cerita/telepon-keluarga/page3/vocab: Raudhah (taman surga di Masjid Nabawi) | Perkenalan Diri/jamaah-haji/vocab: Raudhah (di Masjid Nabawi)
يوم الأربعاء,Hari Rabu | Hari Rabu dalam Arab...,Cerita/pesan-hotel/page4/vocab: Hari Rabu | Cerita/pesan-hotel/endQuiz#2: Hari Rabu dalam Arab...
حج,Haji | hajj (haji),Cerita/haji-wada/page0/vocab: Haji | Tulis Arab/menulis-kata/L9/hajj (haji): hajj (haji)
كم عمرك,Berapa umurmu? (ke laki) | Bagaimana cara tanya umur?,Perkenalan Diri/umur/vocab: Berapa umurmu? (ke laki) | Perkenalan Diri/umur/quiz#0: Bagaimana cara tanya umur?
ما مهنتك,Apa pekerjaanmu? | Bagaimana cara tanya pekerjaan?,Perkenalan Diri/pekerjaan/vocab: Apa pekerjaanmu? | Perkenalan Diri/pekerjaan/quiz#0: Bagaimana cara tanya pekerjaan?
زوجتي,"Istriku | Cara bilang ""istriku""?","Perkenalan Diri/keluarga/vocab: Istriku | Perkenalan Diri/keluarga/quiz#1: Cara bilang ""istriku""?"
كم ولد عندك,Berapa anakmu? | Cara tanya jumlah anak?,Perkenalan Diri/keluarga/vocab: Berapa anakmu? | Perkenalan Diri/keluarga/quiz#3: Cara tanya jumlah anak?
جئت للعمرة,"Aku datang untuk umrah | Cara bilang ""aku datang untuk umrah""?","Perkenalan Diri/tujuan/vocab: Aku datang untuk umrah | Perkenalan Diri/tujuan/quiz#0: Cara bilang ""aku datang untuk umrah""?"
بطلاقة,"Lancar | Cara bilang ""lancar""?","Perkenalan Diri/bahasa/vocab: Lancar | Perkenalan Diri/bahasa/quiz#1: Cara bilang ""lancar""?"
أتعلم,"Aku belajar | Cara bilang ""aku sedang belajar""?","Perkenalan Diri/bahasa/vocab: Aku belajar | Perkenalan Diri/bahasa/quiz#2: Cara bilang ""aku sedang belajar""?"
سأرسل لك,"Aku akan kirim untukmu | Cara bilang ""aku akan kirim untukmu""?","Perkenalan Diri/kontak/vocab: Aku akan kirim untukmu | Perkenalan Diri/kontak/quiz#1: Cara bilang ""aku akan kirim untukmu""?"
أعزب,"Belum menikah (lk) | Cara bilang ""belum menikah (laki)""?","Perkenalan Diri/status/vocab: Belum menikah (lk) | Perkenalan Diri/status/quiz#1: Cara bilang ""belum menikah (laki)""?"
دعوت لك,"Aku doakan kamu | Cara bilang ""aku doakan kamu""?","Perkenalan Diri/jamaah-haji/vocab: Aku doakan kamu | Perkenalan Diri/jamaah-haji/quiz#2: Cara bilang ""aku doakan kamu""?"
أين,Di mana | di mana (aina),Lesson Umrah/arah-lokasi/vocab: Di mana | Match/level3/q35/di mana (aina): di mana (aina)
يسار,Kiri | kiri (yasar),Lesson Umrah/arah-lokasi/vocab: Kiri | Match/level3/q33/kiri (yasar): kiri (yasar)
الصف,Antrian / shaf | Kelas,Lesson Umrah/masjid-nabawi-raudhah/vocab: Antrian / shaf | Lesson Pelajar/taaruf-fashl/vocab: Kelas
موعد,Jadwal / appointment | Janji,Lesson Umrah/masjid-nabawi-raudhah/vocab: Jadwal / appointment | Lesson Profesional/komunikasi-kantor/vocab: Janji
ضائع,Tersesat | Hilang,Lesson Umrah/askar-mutawif/vocab: Tersesat | Lesson Umrah/tersesat-hilang/vocab: Hilang
جبل أحد,Jabal Uhud | Gunung Uhud,Lesson Umrah/ziarah-historis/vocab: Jabal Uhud | Challenge/gunung-uhud/L1/q0: Gunung Uhud
مرحبا,Halo / selamat datang | Selamat datang/Halo,Lesson Umrah/sosial-salam/vocab: Halo / selamat datang | Challenge/pasar-madinah/L1/q1: Selamat datang/Halo
مساء الخير,Selamat sore/malam | Selamat sore,Lesson Umrah/sosial-salam/vocab: Selamat sore/malam | Lesson Pelajar/sapa-guru/vocab: Selamat sore
أتفق,Setuju | Saya setuju,Lesson Profesional/diskusi-pendapat/vocab: Setuju | Lesson Pelajar/tanya-diskusi/vocab: Saya setuju
لا أتفق,Tidak setuju | Saya tidak setuju,Lesson Profesional/diskusi-pendapat/vocab: Tidak setuju | Lesson Pelajar/tanya-diskusi/vocab: Saya tidak setuju
موضوع,Subjek | Topik / tema,Lesson Profesional/email-bisnis/vocab: Subjek | Lesson Pelajar/mulai-pelajaran/vocab: Topik / tema
سأرسل لك المستندات بالبريد,Saya kirim dokumen via email. | Saya kirim dokumennya via email.,Lesson Profesional/email-bisnis/conv1/line0: Saya kirim dokumen via email. | Lesson Profesional/atasan-bawahan/conv1/line2: Saya kirim dokumennya via email.
ملاحظات,Catatan / feedback | Feedback,Lesson Profesional/atasan-bawahan/vocab: Catatan / feedback | Lesson Profesional/evaluasi-promosi/vocab: Feedback
بارك الله فيك,Semoga Allah memberkahimu. | Barakallahu fik (semoga Allah berkahi),Lesson Pelajar/taaruf-fashl/conv5/line3: Semoga Allah memberkahimu. | Match/level4/q41/Barakallahu fik (semoga Allah berkahi): Barakallahu fik (semoga Allah berkahi)
الإعادة,Pengulangan | Pengembalian,Lesson Pelajar/tanya-diskusi/vocab: Pengulangan | Lesson Pelajar/perpustakaan/vocab: Pengembalian
ص,shad (tebal) | shad,Tulis Arab/mengenal-huruf/L2/shad (tebal): shad (tebal) | Match/level1/q8/shad: shad
جلس,ja + lasa = jalasa | jalasa (duduk),Tulis Arab/cara-baca/L4/ja + lasa = jalasa: ja + lasa = jalasa | Tulis Arab/menulis-kata/L7/jalasa (duduk): jalasa (duduk)
قرأ,qa + ra'a = qara'a | qara'a (membaca),Tulis Arab/cara-baca/L4/qa + ra'a = qara'a: qa + ra'a = qara'a | Tulis Arab/menulis-kata/L7/qara'a (membaca): qara'a (membaca)
ك,"kaf sukun (k mati) — di ""lak"" | kaf","Tulis Arab/cara-baca/L6/kaf sukun (k mati) — di ""lak"": kaf sukun (k mati) — di ""lak"" | Match/level1/q12/kaf: kaf"
كم,kam (berapa) | berapa (kam),Tulis Arab/menulis-kata/L8/kam (berapa): kam (berapa) | Match/level3/q26/berapa (kam): berapa (kam)
إحرام,ihram (ihram) | Pakaian ihram,Tulis Arab/menulis-kata/L9/ihram (ihram): ihram (ihram) | Challenge/pasar-kakkiyah/L1/q0: Pakaian ihram
إن شاء الله,Insya Allah | Insya Allah (jika Allah berkehendak),Tulis Arab/menulis-kalimat/L12/Insya Allah: Insya Allah | Match/level4/q37/Insya Allah (jika Allah berkehendak): Insya Allah (jika Allah berkehendak)
ما شاء الله,Masya Allah | Masya Allah (sungguh kehendak Allah),Tulis Arab/menulis-kalimat/L12/Masya Allah: Masya Allah | Match/level4/q39/Masya Allah (sungguh kehendak Allah): Masya Allah (sungguh kehendak Allah)
بسم الله الرحمن الرحيم,"Doa sebelum makan | ""Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang.""","Tulis Arab/menulis-paragraf/L14/Doa sebelum makan: Doa sebelum makan | Hafalan/al-fatihah/ayat1: ""Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang."""
هل هذا حلال,Apakah ini halal | Apakah ini halal (boleh dibawa),Challenge/tower-zamzam/L2/q0: Apakah ini halal | Challenge/gunung-uhud/L3/q3: Apakah ini halal (boleh dibawa)
ولا أنتم عابدون ما أعبد,"""Dan kamu bukan penyembah Tuhan yang aku sembah."" | ""Dan kamu tidak pernah (pula) menjadi penyembah Tuhan yang aku sembah.""","Hafalan/al-kafirun/ayat3: ""Dan kamu bukan penyembah Tuhan yang aku sembah."" | Hafalan/al-kafirun/ayat5: ""Dan kamu tidak pernah (pula) menjadi penyembah Tuhan yang aku sembah."""
