arabic,indo,count,sources,locations
كِتَاب,Buku,2,Tebak Gambar | Ngomong,benda/kitab | kata/kata-belajar/item1
قَلَم,Pena,2,Tebak Gambar | Ngomong,benda/qalam | kata/kata-belajar/item0
هَاتِف,Telepon,2,Tebak Gambar | Ngomong,benda/hatif | kata/kata-tas/item3
سَاعَة,Jam,2,Tebak Gambar | Ngomong,benda/sa'a | kata/kata-kamar/item2
مِفْتَاح,Kunci,2,Tebak Gambar | Ngomong,benda/miftah | kata/kata-tas/item2
حَقِيبَة,Tas,2,Tebak Gambar | Ngomong,benda/haqiba | kata/kata-tas/item0
نَظَّارَة,Kacamata,2,Tebak Gambar | Ngomong,benda/nazzara | kata/kata-tas/item5
مِرْآة,Cermin,2,Tebak Gambar | Ngomong,benda/mir'ah | kata/kata-kamar/item5
سَرِير,Tempat Tidur,2,Tebak Gambar | Ngomong,benda/sarir | kata/kata-kamar/item0
خِزَانَة,Lemari,2,Tebak Gambar | Ngomong,benda/khizana | kata/kata-kamar/item4
مِصْبَاح,Lampu,2,Tebak Gambar | Ngomong,benda/misbah | kata/kata-kamar/item3
شَوْكَة,Garpu,2,Tebak Gambar | Ngomong,benda/shawka | kata/kata-dapur/item3
مِلْعَقَة,Sendok,2,Tebak Gambar | Ngomong,benda/mil'aqa | kata/kata-dapur/item2
سِكِّين,Pisau,2,Tebak Gambar | Ngomong,benda/sikkin | kata/kata-dapur/item4
صَابُون,Sabun,2,Tebak Gambar | Ngomong,benda/sabun | kata/kata-mandi/item0
حَافِلَة,Bus,2,Tebak Gambar | Cerita,transportasi/hafila | naik-bus-masjid/page0/vocab
بَارِد,Dingin,2,Tebak Gambar | Challenge,cuaca-waktu/barid | tower-zamzam/L3/q3
سَنَة,Tahun,2,Tebak Gambar | Perkenalan Diri,cuaca-waktu/sana | umur/vocab
الْحَمْدُ لِلَّه,Segala puji bagi Allah,2,Cerita | Perkenalan Diri,tiba-di-madinah/page7/vocab | nama/vocab
بِكَمْ الْكِيلُو,Berapa per kilo?,2,Cerita | Roleplay,belanja-kurma/page2/vocab | pasar-nawar/vocab
مَاء زَمْزَم,Air Zam-zam,2,Cerita | Challenge,bertemu-jamaah/page0/vocab | tower-zamzam/L3/q0
مَتَى,Kapan,2,Cerita | Lesson Profesional,tanya-waktu-sholat/page1/vocab | krisis-masalah/conv1/line2
مَرِيض,Sakit,2,Cerita | Lesson Umrah,cari-apotek/page0/vocab | askar-mutawif/vocab
دَوَاء,Obat,2,Cerita | Lesson Umrah,cari-apotek/page5/vocab | apotek-kesehatan/vocab
مَسْجِد قُبَاء,Masjid Quba,2,Cerita | Lesson Umrah,hijrah-madinah/page8/vocab | ziarah-historis/vocab
تَشَرَّفْنَا,Senang berkenalan,2,Perkenalan Diri | Lesson Umrah,nama/vocab | sosial-salam/vocab
الرِّيَاضَة,Olahraga,2,Perkenalan Diri | Lesson Pelajar,hobi/vocab | olahraga-budaya/vocab
مَمْنُوع,Dilarang,2,Lesson Umrah | Lesson Umrah,bandara-imigrasi/vocab | miqat-ihram/vocab
وَعَلَيْكُمُ السَّلَامُ. تَفَضَّلْ.,Wa alaikum salam. Silakan.,2,Lesson Umrah | Lesson Profesional,bandara-imigrasi/conv0/line1 | telepon-bisnis/conv2/line1
حَاضِر.,Siap.,2,Lesson Umrah | Lesson Profesional,bandara-imigrasi/conv2/line1 | kerja-tim/conv1/line1
الطَّرِيق,Jalan,2,Lesson Umrah | Lesson Umrah,transportasi-hotel/vocab | arah-lokasi/vocab
الإِفْطَار,Sarapan,2,Lesson Umrah | Lesson Umrah,check-in-hotel/vocab | restoran-makanan/vocab
تَفَضَّل.,Silakan.,2,Lesson Umrah | Lesson Profesional,check-in-hotel/conv0/line2 | diskusi-pendapat/conv3/line1
يَمِين,Kanan,2,Lesson Umrah | Roleplay,arah-lokasi/vocab | tanya-arah/vocab
مُسْتَقِيم,Lurus,2,Lesson Umrah | Challenge,arah-lokasi/vocab | pasar-madinah/L4/q4
الغَدَاء,Makan siang,2,Lesson Umrah | Lesson Profesional,restoran-makanan/vocab | komunikasi-kantor/vocab
كَمْ السِّعْر,Berapa harganya,2,Lesson Umrah | Challenge,pasar-belanja/vocab | pasar-madinah/L2/q0
خَصْم,Diskon,2,Lesson Umrah | Lesson Profesional,pasar-belanja/vocab | negosiasi/vocab
كَيْفَ حَالُك,Apa kabar,2,Lesson Umrah | Tulis Arab,sosial-salam/vocab | menulis-kalimat/L10/Apa kabar?
مُتَابَعَة,Follow-up,2,Lesson Profesional | Lesson Profesional,kartu-networking/vocab | rapat-meeting/vocab
مَشْغُول,Sibuk,2,Lesson Profesional | Lesson Profesional,komunikasi-kantor/vocab | telepon-bisnis/vocab
تَأْجِيل,Penundaan,2,Lesson Profesional | Lesson Profesional,rapat-meeting/vocab | jadwal-tugas/vocab
مُمْتَاز، شُكْرًا.,"Bagus, terima kasih.",2,Lesson Profesional | Lesson Profesional,rapat-meeting/conv4/line2 | jadwal-tugas/conv5/line1
لَا، شُكْرًا.,"Tidak, terima kasih.",2,Lesson Profesional | Lesson Pelajar,rapat-meeting/conv5/line1 | tanya-diskusi/conv5/line3
هَلْ مِنْ أَسْئِلَة أُخْرَى؟,Ada pertanyaan lain?,2,Lesson Profesional | Lesson Pelajar,presentasi/conv5/line0 | tanya-diskusi/conv5/line2
مَا السَّبَب؟,Sebabnya?,2,Lesson Profesional | Lesson Pelajar,jadwal-tugas/conv2/line1 | minta-izin-kelas/conv2/line1
غَدًا الصَّبَاح.,Besok pagi.,2,Lesson Profesional | Lesson Profesional,kerja-tim/conv0/line3 | krisis-masalah/conv1/line3
مَا الشُّرُوط؟,Apa syaratnya?,2,Lesson Profesional | Lesson Pelajar,evaluasi-promosi/conv3/line2 | administrasi-kampus/conv3/line2
لِمَاذَا؟,Mengapa?,2,Lesson Pelajar | Lesson Pelajar,tanya-diskusi/conv3/line2 | minta-izin-kelas/conv5/line1
ا,alif,2,Tulis Arab | Match,mengenal-huruf/L1/alif | level1/q0/alif
ب,ba,2,Tulis Arab | Match,mengenal-huruf/L1/ba | level1/q1/ba
ت,ta,2,Tulis Arab | Match,mengenal-huruf/L1/ta | level1/q2/ta
ج,jim,2,Tulis Arab | Match,mengenal-huruf/L1/jim | level1/q3/jim
د,dal,2,Tulis Arab | Match,mengenal-huruf/L1/dal | level1/q5/dal
ر,ra,2,Tulis Arab | Match,mengenal-huruf/L1/ra | level1/q6/ra
س,sin,2,Tulis Arab | Match,mengenal-huruf/L1/sin | level1/q7/sin
م,mim,2,Tulis Arab | Match,mengenal-huruf/L1/mim | level1/q9/mim
ن,nun,2,Tulis Arab | Match,mengenal-huruf/L1/nun | level1/q10/nun
ي,ya,2,Tulis Arab | Match,mengenal-huruf/L1/ya | level1/q13/ya
